Timestamp,rock,pop,country,indie,rap,taylor swift,age,latitude of birthplace,gender,
2/6/2024 8:22:36,5,3,4,1,1,1,21,2,male,
2/6/2024 8:22:41,4,5,1,5,3,5,26,1,female,
2/6/2024 8:22:42,5,5,4,5,3,5,23,1,female,
2/6/2024 8:22:43,5,3,1,4,4,1,21,2,female,Option 1
2/6/2024 8:23:00,4,5,1,5,1,1,24,5,male,
2/6/2024 8:23:02,4,1,1,4,5,1,22,1,female,Option 1
2/6/2024 8:23:04,5,5,5,2,2,3,59,3,male,
2/6/2024 8:23:06,4,5,5,5,2,3,21,5,female,
2/6/2024 8:23:12,5,3,4,5,1,1,23,2,female,
2/6/2024 8:23:16,4,4,3,3,5,3,22,5,male,
2/6/2024 8:23:20,1,4,5,5,3,4,22,3,female,
2/6/2024 8:23:26,3,3,1,5,1,5,21,5,male,Option 1
2/6/2024 8:23:27,1,4,5,5,3,5,23,3,female,
2/6/2024 8:23:29,5,5,2,5,3,3,22,1,female,
2/6/2024 8:23:45,5,3,4,5,4,1,23,5,female,
2/6/2024 8:23:54,2,5,3,4,5,1,22,4,female,